,PB Ratio,EBITDA to EV,PE Ratio,Dividend Yield,Price to Cashflow,Net Debt Change,VC2_Score
AL,1.07132420804707,0.3198836298547494,8.87,0.011892427133273844,1.428220004409266e-07,-0.1525534702734322,29.178470254957507
GMS,1.9115327960470176,0.12093621404673176,15.41,,3.446336116012248e-07,-0.41480887089798535,29.461756373937675
AYR,1.220612886256886,0.10996668468199387,12.0,0.03787225422459422,2.2081078911080777e-07,-0.08245980415177692,29.745042492917843
PLOW,4.453830661848383,0.0627277181736438,25.13,0.01969942193941835,-2.5374783437962005e-06,0.0797556467092175,30.02832861189802
FORR,5.184176446381759,0.05255220751054188,-86.1,,2.0016234042568075e-06,0.017183250035428903,30.31161473087819
HA,1.3498969736022433,0.312277327921405,6.64,0.017926781025398443,1.8974696526346064e-07,-0.17691462175337327,30.59490084985836
EPAC,4.759783922664712,0.05765964753389377,-6.36,0.001740055816421174,-1.049235278287871e-06,0.11475576642281182,30.878186968838527
KELYA,0.6116271390809681,0.14918254571950326,11.04,0.015477516209524415,2.7234422756489853e-05,0.02935496952941152,31.1614730878187
EFX,6.165323107920539,0.039530567662229045,-49.42,0.010364278477656143,-8.947514626811611e-07,0.012728093095195063,31.444759206798867
CAR,5.847129668044335,0.18296759094340292,14.96,,2.642090583535105e-08,-0.10494834942278773,31.728045325779036
PKOH,1.380349796308173,0.1406828457205082,8.48,0.015975177721596536,1.044625009141659e-06,-0.04471763045401716,32.01133144475921
ECHO,1.524403959940164,0.12038910596385595,28.04,,1.237204530172424e-06,-0.017827686479493572,32.29461756373937
TXT,2.039689700694871,0.1175950140497524,12.39,0.0018043968606834822,1.5937856972650134e-07,0.07063175785419314,32.577903682719544
CMI,3.532796487881482,0.11472827867358151,10.48,0.029606698616147165,1.4422546762830978e-07,-0.07969630862098963,32.86118980169972
KMT,2.116261839909915,0.14296002889804701,14.78,0.024829065464524413,1.2038619472533297e-06,0.3013362019096979,33.14447592067989
FLOW,2.0050968500080044,0.10032587231508837,83.82,,8.564456589016616e-07,0.1333173561239097,33.42776203966006
CHRW,6.851402331324691,0.08560137312595172,16.93,0.02636173720521439,4.823538574217958e-07,0.020377734462615923,33.711048158640224
JELD,3.520418307332212,0.07936108641111528,28.1,,2.213290165606486e-07,-0.10639924817626964,33.994334277620396
EAF,-3.126969523017415,0.223646371676031,4.19,0.030749879100223358,4.76898407937348e-08,-0.7794038487897477,34.27762039660057
HDS,5.161158806809713,0.10122417651460265,14.98,,1.9229562790162265e-07,-0.06469139850327364,34.56090651558073
RXN,3.2709580406989587,0.08634700726022464,22.12,,4.7367903710572214e-07,0.07565116875649615,34.844192634560905
HY,1.3719026922073718,0.08778706399397523,30.45,0.02302028442217828,1.0619721426800058e-06,-0.051356222836985,35.12747875354108
PCAR,3.027325459746069,0.11328168545928159,11.07,0.01722911911002505,1.0463744343868374e-07,-0.04857210723853205,35.41076487252124
RUN,2.049416252071445,0.01166020557968221,269.09,,-3.3038045177421127e-07,-0.22156643337260687,35.69405099150141
PLUG,34.40537556912375,-0.04146274713808817,-9.55,,-1.1862353562839918e-06,-0.45019315124386955,35.977337110481585
DXPE,2.0974056862365167,0.11359190645697008,14.16,,3.2933817728961986e-06,-0.06104492677172707,36.26062322946176
HRI,2.226175190172362,0.18135420371710725,27.23,,2.546950009534932e-07,-0.023609425055724345,36.54390934844193
ARCB,0.928452716640272,0.37884777149700877,11.1,0.01262208281200252,4.2910533518616405e-07,-0.0932588564105806,36.827195467422094
WSC,3.210110910812413,0.05227719534784452,-62.0,,4.639074390759746e-07,-0.5461880622503651,37.110481586402265
TRS,2.172961708573384,0.10362828505651853,17.93,,8.702180673851817e-07,-0.0029044806171971763,37.39376770538244
DE,4.631793053471826,0.08019167489625487,16.1,0.019353495524524797,5.309190555053462e-08,-0.0660363819626602,37.6770538243626
LUV,3.09938329881848,0.14503480901296556,13.78,0.0125118799727725,6.822384641284329e-08,0.06419587050132283,37.960339943342774
VSEC,1.1231788590325733,0.143499777605433,10.37,0.010369764081791548,2.5402471811161936e-06,0.08890693927825168,38.243626062322946
WLDN,2.8079816374949114,0.045952310806998124,134.8,,-9.023673519992562e-06,-0.5724524039971524,38.52691218130311
AMWD,3.196385391130241,0.09047825270362428,21.27,,4.822536949419894e-06,0.13577271559973822,38.81019830028329
FCN,3.456757453404895,0.06130471688303078,21.11,,9.218041266133121e-07,0.0202245164377398,39.09348441926346
WMS,4.490154081057501,0.06338694476947758,-11.65,0.008189691222244382,3.968467416587298e-07,0.12240775629392914,39.376770538243626
CVA,4.2076301297306395,0.07652985199392265,286.64,0.06825315180573875,6.154964821117998e-07,0.2282815139106016,39.6600566572238
GATX,1.509694237638006,0.23864802790836456,13.9,0.02452747729526774,0.0,-0.10843727388622983,39.94334277620396
ATKR,8.493935047866888,0.11096222441348715,14.45,,4.420847823693098e-07,0.008193738901671448,40.226628895184135
GDI,4.29535351983608,0.07808938409882303,30.48,,3.039902567696852e-07,0.10993048656129771,40.50991501416431
OSK,2.3072738360572806,0.13900211416007494,10.7,0.012631474137430461,1.943314274758647e-07,-0.0721947272286441,40.79320113314447
CNR,3.356573260559023,0.13102083621743066,32.82,,8.642321163221233e-08,-0.07432939971161788,41.07648725212464
HURN,2.90782838075505,0.052180903996887136,49.32,,1.164963325906377e-06,0.03554933007279601,41.359773371104815
CAT,5.584775160239791,0.1077995428720596,13.17,0.02783753379895849,1.7213600649146074e-07,-0.03544128821159163,41.64305949008499
MYRG,1.69030021569435,0.14318718457371613,14.82,,1.2746086604484643e-06,-0.22217015475907895,41.92634560906516
AIT,2.821749830479524,0.09495074315747815,19.09,0.020040782729057884,1.1761513840796536e-06,0.017321775923441852,42.20963172804532
ULH,2.357537963761922,0.15642072006159138,13.8,0.02979008364390148,3.896122490205528e-07,-0.30251376034280975,42.492917847025495
KNX,1.1441185814878825,0.13970256378405113,16.64,0.006683591807722022,1.0429999451666633e-07,0.002998091312665738,42.77620396600567
RBC,1.457286323231653,0.11276636573763257,13.62,0.01466015529352584,5.923357231795282e-07,-0.08546796039187383,43.05949008498583
PNR,4.19822456299807,0.06730395072654272,22.1,0.016250077388815048,2.6621007894578615e-07,0.8407612491158961,43.342776203966004
MLHR,3.338682764221732,0.11445937221146388,11.32,0.02087831219192504,4.784194352176546e-07,-0.04865612899551194,43.626062322946176
JBHT,5.587566281952121,0.09001742029185894,,0.009062173901304099,0.0,-0.06310094862836454,43.90934844192634
FTV,3.8561361194637485,0.050527167110572174,10.0,0.00378672916272172,1.9929964784506077e-07,0.10037416974713025,44.19263456090651
THR,2.4384300286899654,0.07684117074383025,32.8,,9.28286668324885e-07,0.04231926063579641,44.47592067988669
MTZ,3.2925741787949905,0.11314486397568492,14.21,,6.767606918766767e-07,-0.17444603613903664,44.759206798866856
LMT,87.49288946550386,0.06251577186875107,21.2,0.02057260444814147,1.6884675736350866e-07,0.10176075285373407,45.04249291784703
AOS,3.5959937074470796,0.11125838871789621,18.67,0.020567308499267085,3.2912199856735296e-07,0.13627532306950071,45.3257790368272
DLX,2.292041725075468,0.15765821152641238,-11.48,0.025750257601852258,4.783283016004372e-07,-0.15404171317738766,45.609065155807365
IAA,11.787568522139,0.05642379160840061,,,5.546563315888322e-07,-0.09104317341940764,45.892351274787536
SP,2.63153890850934,0.07863993302797702,18.63,,1.2324655367422626e-06,-0.3711533515662186,46.1756373937677
