Date,Account Ticker,Stock Ticker,Cusip,Security Description,Shares,Price,Market Value
9/4/15,VLML,LYB,N53745100,LYONDELLBASELL INDU-CL A,1326,82.69,"109,646.94"
9/4/15,VLML,,,BANK OF NEW YORK CASH RESERVE,11036.72,1,"11,036.72"
9/4/15,VLSM,ARLP,01877R108,ALLIANCE RESOURCE PARTNERS,11052,25.05,"276,852.60"
9/4/15,VLSM,AB,01881G106,AllianceBernstein Holding LP,18681,25.7,"480,101.70"
9/4/15,VLSM,APU,30975106,AMERIGAS PARTNERS-LP,10139,43.47,"440,742.33"
9/4/15,VLSM,BGS,05508R106,B&G FOODS INC,15828,34,"538,152.00"
9/4/15,VLSM,BAH,99502106,BOOZ ALLEN HAMILTON HOLDINGS,15149,27.18,"411,749.82"
9/4/15,VLSM,BKE,118440106,BUCKLE INC/THE,9602,40.61,"389,937.22"
9/4/15,VLSM,CFFN,14057J101,CAPITOL FEDERAL FINANCIAL IN,41566,11.88,"493,804.08"
9/4/15,VLSM,CATO,149205106,CATO CORP-CLASS A,12592,35.01,"440,845.92"
9/4/15,VLSM,CHCO,177835105,CITY HOLDING CO,10575,47.3,"500,197.50"
9/4/15,VLSM,CNS,19247A100,COHEN & STEERS INC,11049,28.49,"314,786.01"
9/4/15,VLSM,COLB,197236102,COLUMBIA BANKING SYSTEM INC,17663,29.56,"522,118.28"
9/4/15,VLSM,CPSI,205306103,COMPUTER PROGRAMS & SYSTEMS,9046,45.44,"411,050.24"
9/4/15,VLSM,CXW,22025Y407,CORRECTIONS CORP OF AMERICA,12462,29.26,"364,638.12"
9/4/15,VLSM,CBRL,22410J106,CRACKER BARREL OLD COUNTRY,3236,146.44,"473,879.84"
9/4/15,VLSM,CAPL,22758A105,CROSSAMERICA PARTNERS LP,14624,23.73,"347,027.52"
9/4/15,VLSM,DPM,23311P100,DCP MIDSTREAM PARTNERS LP,11850,27.87,"330,259.50"
9/4/15,VLSM,DSW,23334L102,DSW INC-CLASS A,14612,30.13,"440,259.56"
9/4/15,VLSM,FFG,30239F106,FBL FINANCIAL GROUP INC-CL A,8453,56.81,"480,214.93"
9/4/15,VLSM,FIBK,32055Y201,FIRST INTERSTATE BANCSYS-A,17924,26.38,"472,835.12"
9/4/15,VLSM,FULT,360271100,FULTON FINANCIAL CORP,38827,11.88,"461,264.76"
9/4/15,VLSM,GEO,36162J106,GEO GROUP INC/THE,11308,29.46,"333,133.68"
9/4/15,VLSM,GBCI,37637Q105,GLACIER BANCORP INC,17160,25.93,"444,958.80"
9/4/15,VLSM,HFWA,42722X106,HERITAGE FINANCIAL CORP,28287,17.75,"502,094.25"
9/4/15,VLSM,HEP,435763107,Holly Energy Partners LP,15245,33.73,"514,213.85"
9/4/15,VLSM,IDA,451107106,IDACORP INC,7026,58.05,"407,859.30"
9/4/15,VLSM,LPLA,50212V100,LPL FINANCIAL HOLDINGS INC,10834,39.21,"424,801.14"
9/4/15,VLSM,MSM,553530106,MSC INDUSTRIAL DIRECT CO-A,6606,67.22,"444,055.32"
9/4/15,VLSM,MDP,589433101,MEREDITH CORP,9066,46.25,"419,302.50"
9/4/15,VLSM,NTI,665826103,NORTHERN TIER ENERGY LP,19825,24.16,"478,972.00"
9/4/15,VLSM,NWE,668074305,NORTHWESTERN CORP,9966,50.39,"502,186.74"
9/4/15,VLSM,RRMS,777149105,ROSE ROCK MIDSTREAM LP,10521,30.09,"316,576.89"
9/4/15,VLSM,SWM,808541106,SCHWEITZER-MAUDUIT INTL INC,11341,33.91,"384,573.31"
9/4/15,VLSM,SSI,85254C305,STAGE STORES INC,28922,11.01,"318,431.22"
9/4/15,VLSM,SNHY,866942105,SUN HYDRAULICS CORP,12349,30.93,"381,954.57"
9/4/15,VLSM,SYA,87151Q106,SYMETRA FINANCIAL CORP,19035,31.48,"599,221.80"
9/4/15,VLSM,TCP,87233Q108,TC PIPELINES LP,6581,53.98,"355,242.38"
9/4/15,VLSM,TLLP,88160T107,TESORO LOGISTICS LP,8921,52.8,"471,028.80"
9/4/15,VLSM,TSRA,88164L100,TESSERA TECHNOLOGIES INC,11754,33.46,"393,288.84"
9/4/15,VLSM,THO,885160101,THOR INDUSTRIES INC,8159,54.68,"446,134.12"
9/4/15,VLSM,TLP,89376V100,Transmontaigne Partners LP,13487,29.88,"402,991.56"
9/4/15,VLSM,TUP,899896104,TUPPERWARE BRANDS CORP,7668,51.96,"398,429.28"
9/4/15,VLSM,UMPQ,904214103,UMPQUA HOLDINGS CORP,28883,16.38,"473,103.54"
9/4/15,VLSM,UBSI,909907107,UNITED BANKSHARES INC,13180,36.74,"484,233.20"
9/4/15,VLSM,VVC,92240G101,VECTREN CORP,10114,38.87,"393,131.18"
9/4/15,VLSM,WDR,930059100,WADDELL & REED FINANCIAL-A,10879,37.26,"405,351.54"
9/4/15,VLSM,WASH,940610108,WASHINGTON TRUST BANCORP,12775,37.91,"484,300.25"
9/4/15,VLSM,WSO,942622200,WATSCO INC,4094,122.93,"503,275.42"
9/4/15,VLSM,WRI,948741103,WEINGARTEN REALTY INVESTORS,14956,30.96,"463,037.76"
9/4/15,VLSM,WHG,961765104,WESTWOOD HOLDINGS GROUP INC,8001,53.8,"430,453.80"
9/4/15,VLSM,WOR,981811102,WORTHINGTON INDUSTRIES,21736,24.7,"536,879.20"
9/4/15,VLSM,,,BANK OF NEW YORK CASH RESERVE,107295.62,1,"107,295.62"
9/4/15,VLLV,GAS,1204106,AGL RESOURCES INC,657,60.46,"39,722.22"
9/4/15,VLLV,T,00206R102,AT&T INC,1039,33.04,"34,328.56"
9/4/15,VLLV,ABT,2824100,ABBOTT LABORATORIES,786,44.14,"34,694.04"
9/4/15,VLLV,APD,9158106,AIR PRODUCTS & CHEMICALS INC,248,139.6,"34,620.80"
9/4/15,VLLV,ARG,9363102,AIRGAS INC,314,96.26,"30,225.64"
9/4/15,VLLV,Y,17175100,ALLEGHANY CORP,78,465.45,"36,305.10"
9/4/15,VLLV,ALL,20002101,ALLSTATE CORP,508,57.98,"29,453.84"
9/4/15,VLLV,AXP,25816109,AMERICAN EXPRESS CO,453,75.26,"34,092.78"
9/4/15,VLLV,ABC,3.07E+108,AMERISOURCEBERGEN CORP,387,100,"38,700.00"
9/4/15,VLLV,AMGN,31162100,AMGEN INC,228,149.23,"34,024.44"
9/4/15,VLLV,BUD,03524A108,ANHEUSER-BUSCH INBEV-SPN ADR,324,107.84,"34,940.16"
9/4/15,VLLV,ATO,49560105,ATMOS ENERGY CORP,640,53.46,"34,214.40"
9/4/15,VLLV,ADP,53015103,AUTOMATIC DATA PROCESSING,423,77.55,"32,803.65"
9/4/15,VLLV,BCR,67383109,CR BARD INC,211,190.39,"40,172.29"
9/4/15,VLLV,BAX,71813109,BAXTER INTERNATIONAL INC,904,37.05,"33,493.20"
9/4/15,VLLV,BDX,75887109,BECTON DICKINSON AND CO,249,136.53,"33,995.97"
9/4/15,VLLV,BBBY,75896100,BED BATH & BEYOND INC,463,62.3,"28,844.90"
9/4/15,VLLV,BMS,81437105,BEMIS COMPANY,787,41.93,"32,998.91"
9/4/15,VLLV,WRB,84423102,WR BERKLEY CORP,722,53.88,"38,901.36"
9/4/15,VLLV,BRK/B,84670702,BERKSHIRE HATHAWAY INC-CL B,238,132.15,"31,451.70"
9/4/15,VLLV,TECH,09073M104,BIO-TECHNE CORP,390,92.04,"35,895.60"
9/4/15,VLLV,BA,97023105,BOEING CO/THE,274,131.02,"35,899.48"
9/4/15,VLLV,BMY,110122108,BRISTOL-MYERS SQUIBB CO,597,58.75,"35,073.75"
9/4/15,VLLV,BF/B,115637209,BROWN-FORMAN CORP-CLASS B,400,97.42,"38,968.00"
9/4/15,VLLV,CNL,12561W105,CLECO CORP,639,53.63,"34,269.57"
9/4/15,VLLV,CVS,126650100,CVS HEALTH CORP,370,101.59,"37,588.30"
9/4/15,VLLV,CAH,14149Y108,CARDINAL HEALTH INC,441,81.15,"35,787.15"
9/4/15,VLLV,CVX,166764100,CHEVRON CORP,323,78.26,"25,277.98"
9/4/15,VLLV,CB,171232101,CHUBB CORP/THE,347,121.04,"42,000.88"
9/4/15,VLLV,CHD,171340102,CHURCH & DWIGHT CO INC,450,86.03,"38,713.50"
9/4/15,VLLV,KO,191216100,COCA-COLA CO/THE,822,39.16,"32,189.52"
9/4/15,VLLV,CL,194162103,COLGATE-PALMOLIVE CO,515,62.92,"32,403.80"
9/4/15,VLLV,CBSH,200525103,COMMERCE BANCSHARES INC,843,43.78,"36,906.54"
9/4/15,VLLV,CAG,205887102,CONAGRA FOODS INC,995,41.72,"41,511.40"
9/4/15,VLLV,COP,20825C104,CONOCOPHILLIPS,555,48.18,"26,739.90"
9/4/15,VLLV,ED,209115104,CONSOLIDATED EDISON INC,528,61.88,"32,672.64"
9/4/15,VLLV,COST,22160K105,COSTCO WHOLESALE CORP,246,140.48,"34,558.08"
9/4/15,VLLV,CFR,229899109,CULLEN/FROST BANKERS INC,530,61.94,"32,828.20"
9/4/15,VLLV,DE,244199105,DEERE & CO,407,80.99,"32,962.93"
9/4/15,VLLV,DEO,25243Q205,DIAGEO PLC-SPONSORED ADR,320,104.3,"33,376.00"
9/4/15,VLLV,DIS,254687106,WALT DISNEY CO/THE,380,101.99,"38,756.20"
9/4/15,VLLV,DD,263534109,DU PONT (E.I.) DE NEMOURS,518,50.56,"26,190.08"
9/4/15,VLLV,ECL,278865100,ECOLAB INC,353,108.83,"38,416.99"
9/4/15,VLLV,EMR,291011104,EMERSON ELECTRIC CO,578,46.43,"26,836.54"
9/4/15,VLLV,ES,30040W108,EVERSOURCE ENERGY,744,46.46,"34,566.24"
9/4/15,VLLV,XOM,30231G102,EXXON MOBIL CORP,389,73.79,"28,704.31"
9/4/15,VLLV,AJG,363576109,ARTHUR J GALLAGHER & CO,749,42.4,"31,757.60"
9/4/15,VLLV,GD,369550108,GENERAL DYNAMICS CORP,257,143.41,"36,856.37"
9/4/15,VLLV,GIS,370334104,GENERAL MILLS INC,671,57.61,"38,656.31"
9/4/15,VLLV,GPC,372460105,GENUINE PARTS CO,344,81.87,"28,163.28"
9/4/15,VLLV,GSK,37733W105,GLAXOSMITHKLINE PLC-SPON ADR,837,40.62,"33,998.94"
9/4/15,VLLV,GOOG,38259P706,GOOGLE INC-CL C,70,606.25,"42,437.50"
9/4/15,VLLV,GWW,384802104,WW GRAINGER INC,142,220.69,"31,337.98"
9/4/15,VLLV,HD,437076102,HOME DEPOT INC,346,116.6,"40,343.60"
9/4/15,VLLV,HON,438516106,HONEYWELL INTERNATIONAL INC,356,98.57,"35,090.92"
9/4/15,VLLV,HRL,440452100,HORMEL FOODS CORP,694,61.18,"42,458.92"
9/4/15,VLLV,ITW,452308109,ILLINOIS TOOL WORKS,383,83.25,"31,884.75"
9/4/15,VLLV,INTC,458140100,INTEL CORP,989,29.08,"28,760.12"
9/4/15,VLLV,IBM,459200101,INTL BUSINESS MACHINES CORP,224,146.78,"32,878.72"
