,PB Ratio,EBITDA to EV,PE Ratio,Dividend Yield,Price to Cashflow,Net Debt Change,VC2_Score
CUBE,3.695678954958291,0.04655454951093359,35.31,0.04073394142176799,3.865247325181558e-07,-0.07085229192235906,73.07692307692307
AMH,1.588813390902016,0.04990323509846562,105.26,0.007686128279098413,1.8538268705720799e-07,-0.0831864720419809,73.62637362637363
DRE,2.844040574066145,0.03401493933944922,33.59,0.024083340926449814,2.420200600533961e-07,-0.09425336210784264,74.17582417582418
NXRT,4.157914011866401,0.033349593009802225,11.58,0.02323138851806937,3.19093934537224e-06,-0.04080074014646028,74.72527472527473
MAA,2.630787513257504,0.044313008377514854,60.49,0.02849103977944802,5.346867812939419e-07,0.008268230824753845,75.27472527472527
RHP,10.080783868081848,0.05162769308898734,17.64,0.04251168375886745,8.973525438840978e-07,-0.2927860286232343,75.82417582417582
STOR,2.339223233135475,0.04214901095082767,32.21,0.03516865751417538,3.338684908967961e-07,-0.13873147896307272,76.37362637362637
LAMR,7.13271352760415,0.05585376331088323,26.8,0.04169945206301683,5.64220353200766e-07,-0.09959247762603415,76.92307692307693
PSA,4.402546717211201,0.04985600341916582,27.11,0.03665952340736382,4.0084534026126274e-07,-0.04898732735528673,77.47252747252747
EPRT,4.4741288565313,0.027663994432649632,48.15,0.03178580915830521,1.083757614627025e-06,0.37215147209455524,78.02197802197803
DEI,3.0983520652042906,0.043709114251541864,67.31,0.024970070422643827,3.144349379568531e-07,-0.0018833491069373402,78.57142857142857
GOOD,2.132309805246784,0.06722118300783156,585.13,0.06806931861942038,1.5467067797381683e-06,-0.05805357766164891,79.12087912087912
CCI,5.257895932178901,0.0372867389572966,77.11,0.03002294737644224,2.2348146499113816e-07,-0.048213023731456646,79.67032967032966
HPP,1.6294370742580437,0.04915685676399,126.69,0.028305635405270736,4.058895949385258e-07,-0.12526384454508144,80.21978021978022
FR,3.414199071695779,0.037972282635698906,29.31,0.021243465224901156,6.063974340557509e-07,0.0012351211909017918,80.76923076923077
JLL,2.411306451652439,0.09642113178158193,18.0,0.005220470037847403,7.216006937987587e-07,-0.25177978827765507,81.31868131868131
AHH,3.812400321777198,0.03576524903711323,51.89,0.04404095228297718,1.0755860755305979e-06,-0.24227204045178014,81.86813186813187
NHI,2.76654620284119,0.05538933264279673,24.33,0.0505536946441152,1.4192281939737931e-06,-0.12388881291420896,82.41758241758241
GMRE,2.395031086837411,0.03939648096801289,41.12,0.05487450069796336,1.4801852788986801e-06,-0.3599262692594538,82.96703296703298
KRC,2.22306409419919,0.0386952694832598,30.64,0.0230786713380727,6.124804538221368e-07,-0.2060926854333769,83.51648351648352
SBAC,-8.44026264747555,0.03283204502604241,211.9,0.0014908989275084384,1.0729680819370182e-06,-0.08181913884648608,84.06593406593407
PSB,2.669742384429338,0.05912473811662096,42.55,0.024982708028107262,2.1513266743520286e-06,1.4227568184109165,84.61538461538461
O,3.271902117674221,0.0389121073395642,62.9,0.03586356289093175,2.64282087148906e-07,-0.08336107499121652,85.16483516483517
AAT,3.7134896912640887,0.04337711075669409,61.7,0.024552224956288428,9.183327581237018e-07,0.024764851693744865,85.71428571428571
HR,2.81851723847596,0.040577626704999425,175.54,0.03420551250146388,5.143964680614538e-07,-0.07833721706261439,86.26373626373626
ESS,3.352854599323559,0.03677670719798471,48.69,0.026153929034062766,9.60520921209869e-07,0.01110122602620826,86.81318681318682
FRT,4.299633034889063,0.044960465562360184,38.88,0.0337803478785912,1.247947016570667e-06,0.003323418611561343,87.36263736263736
BXP,3.7698102548188217,0.049949356704294595,43.6,0.027353204803461536,5.027160223146563e-07,-0.08028397885405415,87.91208791208791
EXR,6.13451556238679,0.04067135981482237,35.78,0.032166770063333266,6.405243111140327e-07,-0.07935013862623269,88.46153846153845
FCPT,3.067972463687563,0.04294579557536877,28.37,0.03928947870300847,1.1239518948589e-06,-0.14595453974822178,89.01098901098901
PCH,2.287342277001252,0.07514105685406071,66.47,0.03852015879529846,1.183332553882264e-06,-0.24167566864769197,89.56043956043956
SAFE,6.129803514691647,0.014504171377018128,51.19,0.013704428728101577,-1.4974912037031177e-05,-0.40723897260951625,90.10989010989012
RMR,2.4972518112592628,0.19991469451056468,9.97,0.03127258900216979,1.0095237346217486e-05,-0.4977382530767932,90.65934065934066
AMT,20.67020970973028,0.03629375836588454,67.56,0.01591611822799625,2.5868350610095457e-07,-0.04189742123815362,91.20879120879121
BFS,3.642610698714328,0.0667292610826933,33.52,0.0387225826213981,2.9691061693120583e-06,-0.08503838727741798,91.75824175824175
DLR,2.860217542448444,0.04401178726090961,130.14,0.03360844341820975,4.6074201360144695e-07,-0.18877682497135992,92.3076923076923
CPT,3.264919355997455,0.04196051407198404,66.76,0.02993640852320724,5.806741873083257e-07,-0.08686308068130823,92.85714285714286
SUI,4.82449163322404,0.03074473254554754,101.2,0.019025717640296307,8.796953069757029e-07,-0.017310445061513396,93.4065934065934
ELS,12.1432290888788,0.02387098639540367,48.45,0.016766811814830695,6.815261972745915e-07,-0.07277077005182293,93.95604395604396
TRNO,3.196927824438107,0.019826721185894028,56.77,0.01731930674903232,2.3144892214525682e-06,-0.023697069761817707,94.5054945054945
QTS,2.8808075956119854,0.045453779179253924,504.83,0.031490899796675395,1.1511311586677203e-06,-0.093152209802284,95.05494505494505
ADC,2.6614037910112485,0.03152032441593273,41.53,0.03005383286826195,2.385857455827882e-06,-0.25276771082616517,95.6043956043956
EGP,6.121272431666179,0.03182416928559054,56.09,0.02201779524547156,1.9086315584246783e-06,-0.04681548997473687,96.15384615384616
ARE,2.824266375173618,0.03834493143761037,158.5,0.025049136256970052,8.206202681788828e-07,-0.17205786843327855,96.7032967032967
COR,18.95412133255929,0.05177606779077521,58.2,0.039449816465788386,1.5800961514956598e-06,-0.2579964864569408,97.25274725274726
REXR,2.997266088124093,0.0226487345235882,116.58,0.014938286840306878,1.0396289922531753e-06,-0.1666930221387099,97.8021978021978
UHT,8.816581594403013,0.02639612861744724,101.3,0.02253447622539024,1.1856889627654026e-05,-0.026645442005527428,98.35164835164835
EQIX,7.339517540931459,0.037763731771825355,100.26,0.016537133404263042,1.2181446293596585e-06,-0.11925330922371842,98.9010989010989
CHCT,3.325049903571855,0.03284520360319521,305.37,0.03653429596012739,5.406764348427759e-06,-0.35095034839935196,99.45054945054946
IIPR,4.510789625723187,0.008092486896305453,61.19,0.02645923802325794,8.205478658691478e-06,-0.6162874060118564,100.0
